city_name,hour_of_day,temp_mean,temp_std,wind_mean,wind_std,humidity_mean,precip_mean
Valletta,18,21.171989051094883,6.04115204961756,18.365830291970802,9.86086758756977,65.58850364963503,0.03608576642335767
Sydney,10,19.50921532846714,4.991889078546114,12.664552919708026,6.602308482560247,65.67700729927007,0.16770072992700694
Bangkok,0,26.57166970802919,1.7215776532288842,7.853010948905112,3.2757744686675676,82.92609489051095,0.1781934306569343
Jakarta,13,30.72185218978103,2.0536820335862775,9.637317518248171,3.8549811545539256,65.10629562043796,0.7067062043795631
Auckland,21,15.385948905109512,3.377660874516463,15.392016423357672,8.736174976038537,81.68978102189782,0.1399635036496348
Manila,7,25.983120437956206,1.500664002767868,6.612910583941609,5.090356757354974,85.67244525547446,0.12417883211678829
Lagos,0,26.615419708029197,1.2675745488207668,12.280885036496366,4.150176599489564,85.5962591240876,0.06300182481751819
Karachi,21,25.679927007299263,3.7570172766604553,14.96414233576642,6.367411237931061,73.32481751824818,0.02650547445255474
Mumbai,8,25.946624087591264,2.8505698596925777,9.652417883211676,5.47322961692868,74.46578467153284,0.3249087591240874
Manila,5,25.21072080291972,1.3126144402315645,6.063686131386865,4.922898433801897,89.65556569343066,0.15529197080291957
Sydney,13,21.344479927007296,4.5678411332370565,15.10246350364963,7.097655088667071,59.387773722627735,0.18179744525547417
Mumbai,2,24.546487226277375,2.543774042015833,8.932299270072996,5.477831061732823,81.24087591240875,0.25492700729927
Auckland,4,14.402098540145968,3.4063268614111317,14.44630474452554,8.806956247855114,85.55611313868613,0.12509124087591225
Valletta,14,22.44014598540145,6.136235432428658,19.040830291970796,9.900311316647102,59.02098540145985,0.05661496350364968
Lagos,19,27.13033759124096,1.3494107695595918,13.963047445255468,3.769966279981553,81.27235401459853,0.05086678832116784
Lagos,22,26.841377737226296,1.2673041497434265,12.806523722627725,4.015080922090936,84.04653284671532,0.03343978102189782
Auckland,7,14.791742700729923,3.6547375544509104,15.096760948905098,8.815791373765006,83.9844890510949,0.1218521897810217
Manila,2,25.692198905109503,1.3085640394733151,6.390100364963504,5.017997512101398,88.00821167883211,0.1706660583941604
Singapore,5,24.509762773722645,1.0580311789578296,6.185355839416057,2.6629067828607837,95.29242700729927,0.21984489051094888
Sydney,15,20.87116788321171,4.323879846670484,16.74639598540146,6.902949565307549,61.45939781021898,0.15980839416058376
Mumbai,17,28.26669708029196,2.0305863927747128,15.549406934306583,4.845729567190616,68.74589416058394,0.2255930656934304
Sydney,9,18.153056569343068,5.161239503164942,12.968658759124093,6.704762943130393,69.88594890510949,0.14940693430656918
Valletta,3,18.67714416058394,5.034654209010876,15.708667883211676,9.745590239887358,79.97080291970804,0.035720802919708035
Mumbai,16,29.121578467153306,2.237062744069861,16.722490875912413,4.959302246962868,64.58941605839416,0.2521897810218975
Jakarta,11,30.766423357664205,1.898858476553012,7.461040145985401,3.942023521299311,64.17153284671532,0.20538321167883164
Manila,21,26.996715328467154,1.4277065947383931,8.32408759124087,5.054719661902236,82.15784671532846,0.3172901459854015
Bangkok,21,27.629105839416052,1.6085609410212345,8.250866788321169,3.7603190354456753,78.7536496350365,0.20647810218978094
Lisbon,2,15.185994525547446,3.856872213771307,11.229698905109494,5.858398949197523,83.4867700729927,0.0635492700729927
Lagos,13,28.97189781021896,1.8845705273668028,13.903239051094884,5.180783181937469,71.93293795620438,0.18868613138686247
Jakarta,20,26.499315693430667,1.1579481399506708,5.6357208029197094,2.8638999448605476,85.6154197080292,0.24466240875912387
Lagos,8,26.17176094890513,1.4296785764360602,9.86984489051096,4.200806074832436,86.3125,0.19689781021897854
Manila,23,26.380839416058375,1.3366264159949077,7.362317518248178,5.067187444925594,85.23494525547446,0.2478102189781019
Mumbai,3,24.33950729927008,2.6105864127580714,8.956843065693429,5.458213418890756,81.71487226277372,0.27518248175182486
Lagos,11,28.532527372262773,1.6549044433836677,11.743020072992683,5.462073425075912,73.91605839416059,0.20506386861313977
Jakarta,21,26.08754562043796,1.0624090146428196,5.384078467153284,2.6473029374757107,87.12317518248175,0.22294708029197066
Bangkok,17,30.24206204379563,2.1415860090628174,10.843339416058384,4.619645444471018,63.62956204379562,0.3596715328467155
Sydney,23,15.848038321167888,4.478423936109704,11.15761861313869,5.791575145027674,81.43704379562044,0.13074817518248166
Manila,19,27.27755474452556,1.5542870284433175,9.252326642335763,5.977190331603287,79.54151459854015,0.2762317518248175
Karachi,5,23.44530109489051,4.861829438252893,14.176551094890504,6.297900323362632,79.85310218978103,0.03371350364963504
Jakarta,7,25.304197080291967,0.9254111762956165,4.787910583941605,2.4742073984067394,88.57299270072993,0.12025547445255473
Bangkok,8,26.9703010948905,2.335989983253558,6.854653284671527,3.6875772144711223,79.03056569343066,0.1010492700729927
Sydney,17,19.267700729926993,4.474249729255607,15.598540145985401,6.626634477241402,68.44206204379562,0.1120437956204379
Lisbon,3,15.007937956204374,3.8533572812072086,11.20743613138686,5.917390718246972,84.20118613138686,0.061724452554744534
Jakarta,14,30.195392335766424,1.9282903633813693,9.6731295620438,3.96075840968871,67.58257299270073,0.7317062043795632
Bangkok,18,29.18572080291971,1.8975521791345493,9.552235401459853,4.346482183269703,69.41970802919708,0.23996350364963487
Mumbai,7,24.640875912408756,3.167473434622007,9.251414233576636,5.221339828151271,80.46167883211679,0.3287408759124087
Lagos,6,25.595072992700764,1.381058998135481,9.08207116788322,4.043678987274004,89.73905109489051,0.17586678832116828
Bangkok,6,24.99443430656935,2.050050605351077,6.3636861313868565,2.7753667539484113,87.79014598540147,0.08909671532846714
Singapore,15,29.267198905109495,1.6771685624015469,10.506249999999998,4.397627278956108,73.78330291970804,0.992655109489054
Auckland,2,14.650136861313868,3.4146220844238053,14.530155109489057,8.79706023121743,84.9580291970803,0.13307481751824804
Sydney,3,14.590374087591234,4.4741718796650085,11.054790145985397,6.006807704317927,84.67290145985402,0.12924270072992688
Karachi,7,23.34662408759124,5.464361738538789,14.34771897810218,6.768390050608421,78.63959854014598,0.03448905109489052
Valletta,15,22.58553832116788,6.206387647690137,19.1942518248175,9.953898469390204,58.76094890510949,0.05697992700729932
Sydney,18,18.335218978102176,4.421890749188547,14.70351277372263,6.389376128938065,72.17153284671532,0.11975364963503644
Lisbon,21,16.50866788321168,4.2126374885417315,13.69963503649635,6.227430805350709,77.38959854014598,0.053512773722627756
Lisbon,15,21.33097627737225,5.80020407228321,14.347308394160589,6.741039122608973,58.22125912408759,0.09260948905109492
Lisbon,1,15.455155109489043,3.8731873160303403,11.526596715328461,5.8556927097988325,82.32846715328468,0.057618613138686145
Karachi,19,26.62910583941606,3.4070739528038727,16.580930656934306,6.342016220454745,67.93795620437956,0.024452554744525547
Lisbon,16,21.204379562043794,5.676925596991431,15.017198905109488,6.597370318313821,58.52098540145985,0.09507299270072997
Jakarta,17,28.194023722627716,1.5270976565845344,6.996760948905108,3.528981982179987,76.29744525547446,0.5587135036496358
Manila,0,26.126551094890488,1.3123426164625394,7.043613138686132,5.0144924876037456,86.30611313868613,0.20866788321167862
Karachi,20,26.097125912408764,3.5480989113384207,15.654516423357663,6.334352643184576,71.10036496350365,0.02714416058394161
Singapore,14,29.466560218978117,1.7171270392287084,10.714826642335773,4.354790776651502,73.39142335766424,1.0870894160583962
Valletta,10,21.158895985401447,5.7292011278088895,17.74676094890511,9.703437236608956,65.53740875912409,0.0403740875912409
Singapore,17,28.595209854014605,1.4491281792522168,9.74320255474452,4.396537096191284,75.75045620437956,0.4869981751824824
Lisbon,0,15.478239051094896,4.010387698793139,11.61446167883212,5.992251636368841,81.78923357664233,0.05542883211678833
Mumbai,15,29.78663321167884,2.4479276486876764,16.69174270072993,5.257437432216044,61.809762773722625,0.25656934306569307
Mumbai,13,30.530702554744533,2.713840627785555,14.252691605839408,6.394009066983347,58.574361313868614,0.302052919708029
Jakarta,18,27.169525547445257,1.322270757960365,5.6306569343065735,2.960121367336671,82.1742700729927,0.32422445255474436
Jakarta,3,24.391468978102186,0.81566432615808,5.019616788321166,2.4831753789494626,92.56797445255475,0.16993613138686126
Karachi,23,24.916377737226284,4.140732975595805,14.264324817518245,6.310169799864127,76.31751824817518,0.029516423357664235
Sydney,1,15.141560218978103,4.4621591615954195,11.021031021897809,5.861203094981908,83.51368613138686,0.13845802919708017
Bangkok,1,26.255291970802936,1.764635431960671,7.573540145985387,3.146014940909952,84.0529197080292,0.13020072992700732
Mumbai,5,24.2181113138686,2.6977035199467863,8.770529197080295,5.2374095921576815,82.38731751824818,0.29142335766423333
Lagos,5,25.792609489051074,1.3618624107440669,9.601414233576646,4.126560427972965,89.125,0.15191605839416072
Manila,6,25.217244525547436,1.3999622080271616,6.132390510948908,4.968985520554381,89.6081204379562,0.15401459854014585
Lagos,9,27.027235401459848,1.4589818521735052,10.426870437956206,4.805030612136742,81.73585766423358,0.18585766423357766
Bangkok,2,25.94101277372262,1.8200845787673974,7.30100364963503,3.059213123455063,85.0419708029197,0.1286952554744525
Karachi,13,30.03024635036498,3.695372207155345,18.948996350364954,8.516659052723828,49.54242700729927,0.048540145985401476
Manila,16,29.648677007299277,2.2021416242252063,11.574406934306559,6.8479440600699215,67.85720802919708,0.43038321167883237
Sydney,8,16.61870437956205,5.327775411504784,12.476231751824821,6.335205569627094,75.50456204379562,0.12458941605839406
Lagos,23,26.74895072992702,1.2587580156568234,12.624726277372256,4.096046776439641,84.7837591240876,0.03293795620437955
Valletta,5,18.47080291970802,4.937994878658938,15.807709854014584,9.625304673192835,80.83439781021897,0.040282846715328474
Valletta,12,22.219753649635038,5.984600451844747,18.709397810218963,9.695346213728852,60.206204379562045,0.04781021897810221
